id,name,born,unique_category,unique_year,gender,country_name
248,Vladimir Prelog,1906-07-23,chemistry,1975,male,Bosnia and Herzegovina
249,William Lipscomb,1919-12-09,chemistry,1976,male,USA
250,Ilya Prigogine,1917-01-25,chemistry,1977,male,USSR
251,Peter Mitchell,1920-09-29,chemistry,1978,male,United Kingdom
252,Herbert C. Brown,1912-05-22,chemistry,1979,male,United Kingdom
253,Georg Wittig,1897-06-16,chemistry,1979,male,Württemberg
254,Paul Berg,1926-06-30,chemistry,1980,male,USA
255,Walter Gilbert,1932-03-21,chemistry,1980,male,USA
257,Kenichi Fukui,1918-10-04,chemistry,1981,male,Japan
258,Roald Hoffmann,1937-07-18,chemistry,1981,male,Ukraine
259,Aaron Klug,1926-08-11,chemistry,1982,male,Lithuania
260,Henry Taube,1915-11-30,chemistry,1983,male,Canada
261,Bruce Merrifield,1921-07-15,chemistry,1984,male,USA
262,Herbert A. Hauptman,1917-02-14,chemistry,1985,male,USA
263,Jerome Karle,1918-06-18,chemistry,1985,male,USA
264,Dudley R. Herschbach,1932-06-18,chemistry,1986,male,USA
265,Yuan T. Lee,1936-11-19,chemistry,1986,male,Taiwan
266,John C. Polanyi,1929-01-23,chemistry,1986,male,Württemberg
267,Donald J. Cram,1919-04-22,chemistry,1987,male,USA
268,Jean-Marie Lehn,1939-09-30,chemistry,1987,male,France
269,Charles J. Pedersen,1904-10-03,chemistry,1987,male,South Korea
270,Johann Deisenhofer,1943-09-30,chemistry,1988,male,Württemberg
271,Robert Huber,1937-02-20,chemistry,1988,male,Württemberg
272,Hartmut Michel,1948-07-18,chemistry,1988,male,Württemberg
273,Sidney Altman,1939-05-07,chemistry,1989,male,Canada
274,Thomas R. Cech,1947-12-08,chemistry,1989,male,USA
275,Elias James Corey,1928-07-12,chemistry,1990,male,USA
276,Richard R. Ernst,1933-08-14,chemistry,1991,male,Switzerland
277,Rudolph A. Marcus,1923-07-21,chemistry,1992,male,Canada
278,Kary B. Mullis,1944-12-28,chemistry,1993,male,USA
279,Michael Smith,1932-04-26,chemistry,1993,male,United Kingdom
